Gene ID,Locus Tag,Gene Name,Protein Code,Protein Product
gene27,NVIE_000260,ecx2,A0A060HBQ2,putative exosome complex exonuclease
gene28,NVIE_000270,rpl37ae,A0A060HFQ1,50S ribosomal protein L37ae
gene29,NVIE_0030,NVIE_0030,A0A060HKU7,protein of unknown function
gene30,NVIE_000290,NVIE_000290,A0A060HM00,"prefoldin, subunit beta"
gene31,NVIE_000300,xpf,A0A060HF06,putative DNA repair nuclease XPF
gene32,NVIE_000310,NVIE_000310,A0A060HBQ7,putative Rhodanese-related sulfurtransferase
gene33,NVIE_000320,NVIE_000320,A0A060HFQ7,putative nucleotide binding protein
gene34,NVIE_000330,NVIE_000330,A0A060HKV2,putative inorganic polyphosphate/ATP-NAD kinase
gene35,NVIE_000340,NVIE_000340,A0A060HM05,thiosulfate sulfurtransferase
gene36,NVIE_000350,NVIE_000350,A0A060HF10,protein of unknown function
gene37,NVIE_000360,NVIE_000360,A0A060HBR3,4Fe-4S ferredoxin iron-sulfur binding domain protein
gene38,NVIE_000370,coaD,A0A060HFR0,phosphopantetheine adenylyltransferase
gene39,NVIE_000380,NVIE_000380,A0A060HKV7,hypothetical protein
gene40,NVIE_000390,NVIE_000390,A0A060HM11,hypothetical protein
gene41,NVIE_000400,trpS,A0A060HF15,tryptophan--tRNA ligase
gene42,NVIE_000410,pheS,A0A060HBR9,phenylalanine--tRNA ligase alpha chain
gene43,NVIE_000420,pheT,A0A060HFR5,phenylalanine--tRNA ligase beta chain
gene44,NVIE_000430,NVIE_000430,A0A060HKW1,putative thiamine biosynthesis protein
gene45,NVIE_000440,NVIE_000440,A0A060HM15,putative SepF homologue
gene46,NVIE_000450,NVIE_000450,A0A060HF22,Putative beta-lactamase domain-containing metal-dependent RNase
gene47,NVIE_000460,NVIE_000460,A0A060HBS4,putative deoxyribonuclease/rho motif-related TRAM-domain containing protein
gene48,NVIE_000470,egsA,A0A060HFS1,glycerol-1-phosphate dehydrogenase
gene49,NVIE_000480,NVIE_000480,A0A060HKW7,putative cyclase/dehydrase
gene50,NVIE_t0010,NVIE_t0010,#N/A,tRNA-Cys
gene51,NVIE_000490,NVIE_000490,A0A060HM22,hypothetical protein
gene52,NVIE_000500,NVIE_000500,A0A060HF29,putative translation elongation factor EF Tu-like protein
gene53,NVIE_000510,NVIE_000510,A0A060HBT0,protein of unknown function
gene54,NVIE_000520,NVIE_000520,A0A060HFS8,hypothetical protein
gene55,NVIE_000530,nirK,A0A060HKX3,putative copper-containing nitrite reductase
gene56,NVIE_000540,amoC1,A0A060HM27,ammonia monooxygenase subunit C
gene57,NVIE_000550,NVIE_000550,A0A060HF35,hypothetical protein
gene58,NVIE_000560,NVIE_000560,A0A060HBT5,hypothetical protein
gene59,NVIE_000570,NVIE_000570,A0A060HFT4,protein of unknown function
gene60,NVIE_000580,NVIE_000580,A0A060HKX7,hypothetical protein
gene61,NVIE_000590,NVIE_000590,A0A060HM32,putative Zinc/iron permease
gene62,NVIE_000600,NVIE_000600,A0A060HF44,multicopper oxidase type 3
gene63,NVIE_000610,NVIE_000610,A0A060HBU1,putative protein of unknown function DUF309
gene64,NVIE_000620,NVIE_000620,A0A060HFU0,hypothetical protein
gene65,NVIE_000630,prs,A0A060HKY2,ribose-phosphate pyrophosphokinase
gene66,NVIE_000640,rnz,A0A060HM37,ribonuclease Z
gene67,NVIE_000650,NVIE_000650,A0A060HF49,putative serine/threonine-protein phosphatase
gene68,NVIE_000660,NVIE_000660,A0A060HBU6,protein of unknown function
gene69,NVIE_000670,rpl32e,A0A060HFU5,50S ribosomal protein L32e
gene70,NVIE_000680,rpl19e,A0A060HKY7,50S ribosomal protein L19e
gene71,NVIE_000690,NVIE_000690,A0A060HM43,putative methylated-DNA--protein-cysteine methyltransferase
gene72,NVIE_000700,NVIE_000700,A0A060HF56,putative D-tyrosyl-tRNA(Tyr) deacylase
gene73,NVIE_000710,nusG,A0A060HBV1,putative transcription antitermination protein NusG
gene74,NVIE_000720,NVIE_000720,A0A060HFV2,putative siroheme synthase
gene75,NVIE_000730,hemA,A0A060HKZ1,glutamyl-tRNA reductase
gene76,NVIE_000740,hemB21,A0A060HM47,delta-aminolevulinic acid dehydratase
gene77,NVIE_000750,NVIE_000750,A0A060HF62,hypothetical protein
gene78,NVIE_t0020,NVIE_t0020,#N/A,tRNA-Gly
gene79,NVIE_000760,NVIE_000760,A0A060HBV5,protein of unknown function
gene80,NVIE_000770,NVIE_000770,A0A060HFV7,protein of unknown function
gene81,NVIE_000780,NVIE_000780,A0A060HKZ6,protein of unknown function
gene82,NVIE_000790,NVIE_000790,A0A060HM54,protein of unknown function
gene83,NVIE_000800,NVIE_000800,A0A060HF68,hypothetical protein
gene84,NVIE_000810,NVIE_000810,A0A060HBV9,hypothetical protein
gene85,NVIE_000820,NVIE_000820,A0A060HFW3,protein of unknown function
gene86,NVIE_000830,NVIE_000830,A0A060HL01,exported protein of unknown function
gene87,NVIE_000840,NVIE_000840,A0A060HM60,hypothetical protein
gene88,NVIE_000850,NVIE_000850,A0A060HF76,hypothetical protein
gene89,NVIE_000870,NVIE_000870,#N/A,fragment of putative GCN5-related N-acetyltransferase (part 2)
gene90,NVIE_000880,NVIE_000880,A0A060HBW5,putative glycosyl transferase family 2
gene91,NVIE_000890,NVIE_000890,A0A060HFW9,putative ferredoxin
gene92,NVIE_000900,pox,A0A060HL06,putative pyruvate dehydrogenase/ pyruvate oxidase
gene93,NVIE_000910,NVIE_000910,A0A060HM66,membrane protein of unknown function
gene94,NVIE_000920,NVIE_000920,A0A060HF82,putative transcriptional regulator TrmB
gene95,NVIE_000930,NVIE_000930,A0A060HBW9,putative peptidase M10A
gene96,NVIE_000940,NVIE_000940,A0A060HFX5,cell surface protein with DUF11 domain
gene97,NVIE_000950,NVIE_000950,A0A060HL11,hypothetical protein with HTH ARSR and V4R signature
gene98,NVIE_000960,NVIE_000960,A0A060HM70,protein of unknown function
gene99,NVIE_000970,NVIE_000970,A0A060HF89,hypothetical protein
gene100,NVIE_000980,NVIE_000980,A0A060HBX4,protein of unknown function
gene101,NVIE_000990,NVIE_000990,A0A060HFY0,hypothetical protein
gene102,NVIE_001000,NVIE_001000,A0A060HL15,"putative surface-associated Ca2+-binding protein, Haemolysin-type"
gene103,NVIE_001010,NVIE_001010,A0A060HM75,"putative surface-associated Ca2+-binding protein, Haemolysin-type"
gene104,NVIE_001020,NVIE_001020,A0A060HF95,putative cell wall surface anchor family protein
gene105,NVIE_001030,NVIE_001030,A0A060HBX9,protein of unknown function
gene106,NVIE_001040,NVIE_001040,A0A060HFY7,"putative membrane associated signal transduction histidine kinase, with phosphoacceptor and ATP binding domain"
gene107,NVIE_001050,NVIE_001050,A0A060HL19,zinc finger C2H2 domain-containing protein
gene108,NVIE_001060,NVIE_001060,A0A060HM81,protein of unknown function
gene109,NVIE_0108,NVIE_0108,A0A060HFA3,hypothetical protein
gene110,NVIE_001070,NVIE_001070,A0A060HBY3,conserved protein of unknown function
gene111,NVIE_001080,NVIE_001080,A0A060HFZ1,putative ketosteroid isomerase-like protein
gene112,NVIE_001090,NVIE_001090,A0A060HL23,protein of unknown function
gene113,NVIE_001100,NVIE_001100,A0A060HM87,protein of unknown function
gene114,NVIE_001110,NVIE_001110,A0A060HFA9,protein of unknown function
gene115,NVIE_001120,NVIE_001120,A0A060HBY8,protein of unknown function
gene116,NVIE_001130,NVIE_001130,A0A060HFZ8,putative transcriptional regulator
gene117,NVIE_001140,NVIE_001140,A0A060HL27,protein of unknown function
gene118,NVIE_001150,NVIE_001150,A0A060HM93,exported protein of unknown function
gene119,NVIE_001160,NVIE_001160,A0A060HFB7,protein of unknown function
gene120,NVIE_001170,NVIE_001170,A0A060HBZ2,protein of unknown function
gene121,NVIE_001180,NVIE_001180,A0A060HG05,protein of unknown function
gene122,NVIE_001190,NVIE_001190,A0A060HL32,hypothetical protein
gene123,NVIE_001200,NVIE_001200,A0A060HM97,protein of unknown function
gene124,NVIE_001210,NVIE_001210,A0A060HFC2,putative integrase family protein
gene125,NVIE_001220,NVIE_001220,A0A060HBZ7,hypothetical protein
gene126,NVIE_001230,NVIE_001230,A0A060HG10,C-5 cytosine-specific DNA methylase
gene127,NVIE_001240,NVIE_001240,A0A060HL36,putative HhH-GPD superfamily base excision DNA repair protein
gene128,NVIE_001250,NVIE_001250,A0A060HMA2,protein of unknown function
gene129,NVIE_001260,NVIE_001260,A0A060HFD0,protein of unknown function
gene130,NVIE_001270,NVIE_001270,A0A060HC05,putative DEAD-box superfamily II helicase
gene131,NVIE_001280,NVIE_001280,A0A060HG18,protein of unknown function
gene132,NVIE_001290,NVIE_001290,A0A060HL41,protein of unknown function
gene133,NVIE_001300,NVIE_001300,A0A060HMA9,hypothetical protein
gene134,NVIE_0132,NVIE_0132,A0A060HFD6,"putative signal transduction response regulator, receiver domain"
gene135,NVIE_001310,thyX,A0A060HC10,putative thymidylate synthase ThyX
gene136,NVIE_001320,NVIE_001320,A0A060HG24,hypothetical protein
gene137,NVIE_001330,cdvA,A0A060HL45,putative archaeal cell division protein CdvA with coiled-coil domain
gene138,NVIE_001340,coxA2,A0A060HMB4,heme-copper oxidase subunit I
gene139,NVIE_001350,NVIE_001350,A0A060HFE3,protein of unknown function
gene140,NVIE_001360,NVIE_001360,A0A060HC15,hypothetical protein
gene141,NVIE_001370,hemL1,A0A060HG29,"glutamate-1-semialdehyde 2,1-aminomutase"
gene142,NVIE_001380,NVIE_001380,A0A060HL49,hypothetical protein
gene143,NVIE_001390,NVIE_001390,A0A060HMC0,hypothetical protein
gene144,NVIE_001400,NVIE_001400,A0A060HFE9,hypothetical protein
gene145,NVIE_001410,NVIE_001410,A0A060HC21,putative helicase
gene146,NVIE_001420,NVIE_001420,A0A060HG33,DUF367 domain-containing protein
gene147,NVIE_RNA0139656D,NVIE_RNA0139656D,#N/A,miscellaneous RNA (RNaseP_arch)
gene148,NVIE_001430,NVIE_001430,A0A060HL56,protein of unknown function
gene149,NVIE_001440,NVIE_001440,A0A060HMC4,protein of unknown function
gene150,NVIE_001450,NVIE_001450,A0A060HFF5,protein of unknown function
gene151,NVIE_0148,NVIE_0148,A0A060HC26,hypothetical protein
gene152,NVIE_001470,NVIE_001470,A0A060HG38,putative NOL1/NOP2/sun family putative RNA methylase
gene153,NVIE_001480,NVIE_001480,A0A060HL62,PUA domain-containing protein
gene154,NVIE_001490,NVIE_001490,A0A060HMD0,protein of unknown function
gene155,NVIE_001500,NVIE_001500,A0A060HFG1,protein of unknown function
gene156,NVIE_001510,cofD,A0A060HC34,LPPG:FO 2-phospho-L-lactate transferase
gene157,NVIE_001520,cofC,A0A060HG41,2-phospho-L-lactate guanylyltransferase
gene158,NVIE_001530,NVIE_001530,A0A060HL68,protein of unknown function
gene159,NVIE_0156,NVIE_0156,A0A060HMD6,hypothetical protein
gene160,NVIE_001540,NVIE_001540,A0A060HFG8,DUF2070-domain containing protein
gene161,NVIE_0158,secB,A0A060HC39,protein translocase subunit SecB
gene162,NVIE_001550,NVIE_001550,A0A060HG48,hypothetical protein
gene163,NVIE_001560,NVIE_001560,A0A060HL74,protein translation factor SUI1
gene164,NVIE_001570,NVIE_001570,A0A060HME2,"putative membrane associated signal transduction histidine kinase, with extracellular ligand binding and ATP binding domain"
gene165,NVIE_001580,NVIE_001580,A0A060HFH5,protein of unknown function
gene166,NVIE_001590,tfb1,A0A060HC45,transcription initiation factor IIB
gene167,NVIE_001600,NVIE_001600,A0A060HG51,protein of unknown function
gene168,NVIE_001610,NVIE_001610,A0A060HL80,hypothetical protein
gene169,NVIE_001620,rpiA,A0A060HME7,ribose-5-phosphate isomerase
gene170,NVIE_001630,mscL,A0A060HFI0,large-conductance mechanosensitive ion channel
gene171,NVIE_001640,NVIE_001640,A0A060HC53,putative amidohydrolase family protein
gene172,NVIE_t0030,NVIE_t0030,#N/A,tRNA-Ala
gene173,NVIE_001650,NVIE_001650,A0A060HG55,protein of unknown function
gene174,NVIE_0169,NVIE_0169,A0A060HL85,protein of unknown function
gene175,NVIE_001690,NVIE_001690,A0A060HMF3,hypothetical protein
gene176,NVIE_001700,NVIE_001700,A0A060HFI7,hypothetical protein
gene177,NVIE_001710,NVIE_001710,A0A060HC59,protein of unknown function
gene178,NVIE_001720,NVIE_001720,A0A060HG63,protein of unknown function
gene179,NVIE_001730,NVIE_001730,A0A060HL90,putative polysaccharide deacetylase domain containing protein
gene180,NVIE_001740,NVIE_001740,A0A060HMF8,protein of unknown function
gene181,NVIE_001750,NVIE_001750,A0A060HFJ3,protein of unknown function
gene182,NVIE_001760,NVIE_001760,A0A060HC65,protein of unknown function
gene183,NVIE_001770,NVIE_001770,A0A060HG68,protein of unknown function
gene184,NVIE_001780,NVIE_001780,A0A060HL95,putative Patatin-like phospholipase
gene185,NVIE_001790,NVIE_001790,A0A060HMG3,cupin domain-containing protein
gene186,NVIE_001800,NVIE_001800,A0A060HFJ9,protein of unknown function
gene187,NVIE_001810,NVIE_001810,A0A060HC72,protein of unknown function
gene188,NVIE_001820,NVIE_001820,A0A060HG75,protein of unknown function
gene189,NVIE_001830,ytsJ,A0A060HL99,NAD(P)-dependent malic enzyme
gene190,NVIE_001840,NVIE_001840,A0A060HMG8,putative Zn-finger domain containing protein
gene191,NVIE_001850,NVIE_001850,A0A060HFK5,exported protein of unknown function
gene192,NVIE_001860,NVIE_001860,A0A060HC79,''Winged helix'' DNA-binding domain containing protein
gene193,NVIE_001870,NVIE_001870,A0A060HG83,exported protein of unknown function
gene194,NVIE_001880,NVIE_001880,A0A060HLA5,protein of unknown function
gene195,NVIE_001890,NVIE_001890,A0A060HMH3,protein of unknown function
gene196,NVIE_001900,NVIE_001900,A0A060HFL0,putative Zinc/iron permease
gene197,NVIE_001910,NVIE_001910,A0A060HC85,zinc-binding CMP/dCMP deaminase
gene198,NVIE_001920,NVIE_001920,A0A060HG90,protein of unknown function
gene199,NVIE_001930,NVIE_001930,A0A060HLB0,Putative sensor protein
gene200,NVIE_001940,NVIE_001940,A0A060HMH7,protein of unknown function
gene201,NVIE_001950,NVIE_001950,A0A060HFL5,putative sensor protein
gene202,NVIE_001960,NVIE_001960,A0A060HC91,"Acetyltransferase, GNAT family"
gene203,NVIE_001970,NVIE_001970,A0A060HG98,putative Purine phosphoribosyltransferase (GpT-2)
gene204,NVIE_001980,NVIE_001980,A0A060HLB7,hypothetical protein
gene205,NVIE_001990,NVIE_001990,A0A060HMI2,protein of unknown function
gene206,NVIE_002000,NVIE_002000,A0A060HFM0,conserved protein of unknown function
gene207,NVIE_002010,NVIE_002010,A0A060HC98,hypothetical protein
gene208,NVIE_002020,NVIE_002020,A0A060HGA5,putative hemerythrin HHE cation binding domain protein
gene209,NVIE_002030,NVIE_002030,A0A060HLC2,hypothetical protein
gene210,NVIE_002040,NVIE_002040,A0A060HMI8,protein of unknown function
gene211,NVIE_002050,argD2,A0A060HFM6,acetylornithine aminotransferase
gene212,NVIE_002060,NVIE_002060,A0A060HCA3,putative acyl-CoA dehydrogenase
gene213,NVIE_002070,NVIE_002070,A0A060HGB2,protein of unknown function
gene214,NVIE_002080,NVIE_002080,A0A060HLC9,protein of unknown function
gene215,NVIE_002090,NVIE_002090,A0A060HMJ2,protein of unknown function
gene216,NVIE_002100,NVIE_002100,A0A060HFN2,protein of unknown function
gene217,NVIE_0211,NVIE_0211,A0A060HCA9,protein of unknown function
gene218,NVIE_002110,NVIE_002110,A0A060HGD9,protein of unknown function
gene219,NVIE_002120,NVIE_002120,A0A060HLF2,protein of unknown function
gene220,NVIE_002130,NVIE_002130,A0A060HML2,hypothetical protein
gene221,NVIE_002140,NVIE_002140,A0A060HFP9,protein of unknown function
gene222,NVIE_002150,dbh1,A0A060HCE2,DNA polymerase IV with DUF72 domain
gene223,NVIE_002170,NVIE_002170,A0A060HGF4,putative peptidyl-prolyl cis-trans isomerase
gene224,NVIE_002180,NVIE_002180,A0A060HLG6,"putative transcriptional regulator, TetR family (modular protein)"
gene225,NVIE_0219,NVIE_0219,A0A060HML6,hypothetical protein
gene226,NVIE_002190,rnhA,A0A060HFR3,ribonuclease H
gene227,NVIE_0221,NVIE_0221,A0A060HCG1,protein of unknown function
gene228,NVIE_002200,NVIE_002200,A0A060HGF7,protein of unknown function
gene229,NVIE_002210,NVIE_002210,A0A060HLG9,protein of unknown function DUF541
gene230,NVIE_002220,NVIE_002220,A0A060HML7,Beta propeller domain containing protein
gene231,NVIE_002230,NVIE_002230,A0A060HFR8,protein of unknown function
gene232,NVIE_002240,NVIE_002240,A0A060HCG6,protein of unknown function
gene233,NVIE_002250,NVIE_002250,A0A060HGG2,putative cupredoxin
gene234,NVIE_002260,NVIE_002260,A0A060HLH5,hypothetical protein
gene235,NVIE_002270,NVIE_002270,A0A060HMM1,protein of unknown function
gene236,NVIE_0230,NVIE_0230,A0A060HFS3,hypothetical protein
gene237,NVIE_002280,NVIE_002280,A0A060HCH1,protein of unknown function
gene238,NVIE_002290,NVIE_002290,A0A060HGG7,protein of unknown function
gene239,NVIE_002300,NVIE_002300,A0A060HLI2,putative DNA methylase
gene240,NVIE_002310,NVIE_002310,A0A060HMM3,hypothetical protein
gene241,NVIE_002320,NVIE_002320,A0A060HFS7,protein of unknown function
gene242,NVIE_002330,amoC2,A0A060HCH5,ammonia monooxygenase subunit C
gene243,NVIE_002340,NVIE_002340,A0A060HGH1,"carbohydrate kinase, YjeF-like protein"
gene244,NVIE_002350,gloB,A0A060HLI7,putative hydroxyacylglutathione hydrolase
gene245,NVIE_002360,NVIE_002360,A0A060HMM6,putative UPF0284 protein
gene246,NVIE_002370,NVIE_002370,A0A060HFT1,hypothetical protein
gene247,NVIE_002380,NVIE_002380,A0A060HCI1,putative 3-methyladenine DNA glycosylase
gene248,NVIE_002390,NVIE_002390,A0A060HGH5,putative uracil DNA glycosylase superfamily protein
gene249,NVIE_002400,NVIE_002400,A0A060HLJ0,protein of unknown function
gene250,NVIE_002410,NVIE_002410,A0A060HMN0,hypothetical protein
gene251,NVIE_002420,amt1,A0A060HFT5,ammonium transporter
gene252,NVIE_002430,NVIE_002430,A0A060HCI6,hypothetical protein
gene253,NVIE_002440,NVIE_002440,A0A060HGI0,putative Na+(Li+)/H+ antiporter
gene254,NVIE_002450,NVIE_002450,A0A060HLJ4,protein of unknown function
gene255,NVIE_002460,ogg,A0A060HMN2,8-oxoguanine DNA glycosylase
gene256,NVIE_002470,NVIE_002470,A0A060HFT9,protein of unknown function
gene257,NVIE_002480,NVIE_002480,A0A060HCI9,protein of unknown function
gene258,NVIE_002490,NVIE_002490,A0A060HGI1,hypothetical protein
gene259,NVIE_002500,NVIE_002500,A0A060HLJ6,putative alpha/beta hydrolase fold protein
gene260,NVIE_002510,NVIE_002510,A0A060HMN6,protein of unknown function
gene261,NVIE_002520,NVIE_002520,A0A060HFU3,protein of unknown function
gene262,NVIE_002530,NVIE_002530,A0A060HCJ3,hypothetical protein
gene263,NVIE_002540,NVIE_002540,A0A060HGI6,hypothetical protein
gene264,NVIE_002550,NVIE_002550,A0A060HLK1,protein of unknown function
gene265,NVIE_002560,NVIE_002560,A0A060HMN8,protein of unknown function
gene266,NVIE_002570,NVIE_002570,#N/A,protein of unknown function
gene267,NVIE_002580,NVIE_002580,A0A060HCJ8,putative Integrase family protein
gene268,NVIE_002590,NVIE_002590,A0A060HGJ0,hypothetical protein
gene269,NVIE_002600,NVIE_002600,A0A060HLK5,putative blue (type1) copper domain-containing protein
gene270,NVIE_002610,petB,A0A060HMP2,putative cytochrome b/b6
gene271,NVIE_002620,petC,A0A060HFV1,putative Rieske 2Fe-2S domain cytochrome b6-f complex iron-sulfur subunit
gene272,NVIE_002630,NVIE_002630,A0A060HCK2,pentapeptide repeat protein
gene273,NVIE_002640,NVIE_002640,A0A060HGJ4,putative diphthine synthase
gene274,NVIE_002650,lysK,A0A060HLK9,acetyl-lysine deacetylase
gene275,NVIE_002660,lysX1,A0A060HMP5,alpha-aminoadipate lysW ligase LysX
gene276,NVIE_002670,lysW,A0A060HFV3,alpha-aminoadipate carrier protein LysW
gene277,NVIE_002680,cimA,A0A060HCK4,putative 2-isopropylmalate synthase
gene278,NVIE_002690,argH,A0A060HGK0,argininosuccinate lyase
gene279,NVIE_002700,NVIE_002700,A0A060HLL4,hypothetical protein
gene280,NVIE_002710,NVIE_002710,A0A060HMP8,DUF59 domain-containing protein
gene281,NVIE_002720,NVIE_002720,A0A060HFV8,putative sialidase (neuraminidase) family protein
gene282,NVIE_002730,sdhB,A0A060HCL0,FeS-center protein of succinate dehydrogenase/fumarate reductase
gene283,NVIE_002740,sdhD,A0A060HGK2,putative succinate dehydrogenase/fumarate reductase
gene284,NVIE_002750,sdhC,A0A060HLL6,putative succinate dehydrogenase/fumarate reductase
gene285,NVIE_002760,sdhA,A0A060HMQ1,succinate dehydrogenase flavoprotein subunit/fumarate reductase
gene286,NVIE_002770,NVIE_002770,A0A060HFW1,protein of unknown function
gene287,NVIE_002780,NVIE_002780,A0A060HCL4,protein of unknown function
gene288,NVIE_002790,NVIE_002790,A0A060HGK7,hypothetical protein
gene289,NVIE_002800,NVIE_002800,A0A060HLM1,hypothetical protein
gene290,NVIE_002810,hisS,A0A060HMQ5,histidine--tRNA ligase
gene291,NVIE_002820,NVIE_002820,A0A060HFW5,protein of unknown function
gene292,NVIE_002830,NVIE_002830,A0A060HCL9,PIN-domain containing protein
gene293,NVIE_002840,NVIE_002840,A0A060HGL2,putative archease protein family (DUF101/UPF0211)
gene294,NVIE_002850,hsp20-1,A0A060HLM5,putative heat-shock protein Hsp20
gene295,NVIE_002860,NVIE_002860,A0A060HMQ7,protein of unknown function
gene296,NVIE_002870,NVIE_002870,A0A060HFX0,protein of unknown function
gene297,NVIE_002880,NVIE_002880,A0A060HCM2,putative restriction endonuclease/methyltransferase
gene298,NVIE_0290,NVIE_0290,A0A060HGL5,fragment/protein of unknown function
gene299,NVIE_002890,dps1,A0A060HLM9,ferritin Dps family protein
gene300,NVIE_002900,NVIE_002900,A0A060HMR2,protein of unknown function
gene301,NVIE_002910,fen,A0A060HFX3,flap structure-specific endonuclease
gene302,NVIE_0294,NVIE_0294,A0A060HCM7,hypothetical protein
gene303,NVIE_002920,NVIE_002920,A0A060HGM0,hypothetical protein
gene304,NVIE_002930,NVIE_002930,A0A060HLN1,hypothetical protein
gene305,NVIE_002940,NVIE_002940,A0A060HMR6,hypothetical protein
gene306,NVIE_002950,NVIE_002950,A0A060HFX8,protein of unknown function
gene307,NVIE_0298,NVIE_0298,A0A060HCN2,fragment/protein of unknown function
gene308,NVIE_002960,NVIE_002960,A0A060HGM5,putative Mov34/MPN/PAD-1 family protein
gene309,NVIE_002970,NVIE_002970,#N/A,putative integrase family protein
gene310,NVIE_002980,NVIE_002980,A0A060HMS0,hypothetical protein
gene311,NVIE_002990,NVIE_002990,A0A060HFY2,hypothetical protein
gene312,NVIE_t0040,NVIE_t0040,#N/A,tRNA-Pseudo
gene313,NVIE_003000,NVIE_003000,A0A060HCN6,exported or cell surface associated protein of unknown function containing glycoside hydrolase/deacetylase and HYR-domains
gene314,NVIE_003010,phaC,A0A060HGM9,poly(R)-hydroxyalkanoic acid synthase
gene315,NVIE_003020,phaE,A0A060HLN6,putative poly(3-hydroxyalkanoate) synthase component
gene316,NVIE_003030,NVIE_003030,A0A060HMS5,hypothetical protein
gene317,NVIE_t0050,NVIE_t0050,#N/A,tRNA-Arg
gene318,NVIE_003040,NVIE_003040,A0A060HFY4,putative integrase family protein
gene319,NVIE_003050,NVIE_003050,A0A060HCP0,protein of unknown function
gene320,NVIE_003060,NVIE_003060,A0A060HGN3,protein of unknown function
gene321,NVIE_003070,NVIE_003070,A0A060HLP1,protein of unknown function
gene322,NVIE_003080,NVIE_003080,A0A060HMS8,protein of unknown function
gene323,NVIE_003090,NVIE_003090,A0A060HFY9,protein of unknown function
gene324,NVIE_003100,NVIE_003100,A0A060HCP5,protein of unknown function
gene325,NVIE_0314,NVIE_0314,A0A060HGN8,protein of unknown function
gene326,NVIE_003110,NVIE_003110,A0A060HLP4,hypothetical protein
gene327,NVIE_003120,NVIE_003120,A0A060HMT2,3-hydroxypropionyl-CoA synthetase
gene328,NVIE_003130,NVIE_003130,A0A060HFZ2,putative Glutamine amidotransferase class-I
gene329,NVIE_003140,NVIE_003140,A0A060HCP8,Toprim (topoisomerase-primase) domain - containing protein
gene330,NVIE_003150,NVIE_003150,A0A060HGP2,putative DNA primase
gene331,NVIE_003160,ribK,A0A060HLP7,riboflavin kinase
gene332,NVIE_003170,ribL,A0A060HMT7,putative FAD synthase
gene333,NVIE_003180,NVIE_003180,A0A060HFZ6,methyltransferase type 11
gene334,NVIE_0323,NVIE_0323,A0A060HCQ3,DUF650 and DUF651 domain-containing protein
gene335,NVIE_003190,NVIE_003190,A0A060HGP6,hypothetical protein
gene336,NVIE_003200,NVIE_003200,A0A060HLQ0,putative transposase IS3/IS911 family
gene337,NVIE_003210,proS,A0A060HMU1,proline--tRNA ligase
gene338,NVIE_003220,NVIE_003220,A0A060HG02,DedA family protein
gene339,NVIE_003230,NVIE_003230,A0A060HCQ7,hypothetical protein
gene340,NVIE_003240,NVIE_003240,A0A060HGQ1,protein of unknown function
gene341,NVIE_003250,NVIE_003250,A0A060HLQ4,chromosome segregation protein SMC
gene342,NVIE_003260,ino,A0A060HMU4,myo-inositol-1-phosphate synthase
gene343,NVIE_003270,NVIE_003270,A0A060HG04,Gcn5-related N-acetyltransferase (GNAT) domain-containing protein
